lon,lat,vv,vh,cell_id
105.34999999999997,10.949999999999967,-9.972912059431525,-17.464979632688838,105.3_10.9
105.34999999999997,11.049999999999967,-8.98796282228906,-16.851043402271653,105.3_11.0
105.44999999999996,8.549999999999976,-18.14913779314564,-33.329451815463294,105.4_8.5
105.44999999999996,8.649999999999975,-18.296823205634297,-33.2570557119535,105.4_8.6
105.44999999999996,8.749999999999975,-18.22518431196747,-33.319192643445874,105.4_8.7
105.44999999999996,8.849999999999975,-17.80883369886713,-32.866239582326294,105.4_8.8
105.44999999999996,8.949999999999974,-18.5634555814355,-32.43406737920732,105.4_8.9
105.44999999999996,9.049999999999974,-14.964408234888545,-24.816566953029348,105.4_9.0
105.44999999999996,9.149999999999974,-10.559756914181676,-18.440251859283766,105.4_9.1
105.44999999999996,9.249999999999973,-9.788996918357146,-17.02724368285905,105.4_9.2
105.44999999999996,9.349999999999973,-9.981117195075141,-17.037189405691375,105.4_9.3
105.44999999999996,9.449999999999973,-10.910374289974996,-18.049619819113083,105.4_9.4
105.44999999999996,9.549999999999972,-11.020427294208362,-18.085845962541473,105.4_9.5
105.44999999999996,9.649999999999972,-8.190387478433664,-15.894712711600073,105.4_9.6
105.44999999999996,9.749999999999972,-7.6540157897115115,-15.499499274710988,105.4_9.7
105.44999999999996,9.849999999999971,-8.596861047719493,-16.1983154842489,105.4_9.8
105.44999999999996,9.94999999999997,-9.163850880836675,-16.193796456090066,105.4_9.9
105.44999999999996,10.04999999999997,-8.440908064985427,-16.05982528250224,105.4_10.0
105.44999999999996,10.14999999999997,-9.399942977852623,-16.102550872258963,105.4_10.1
105.44999999999996,10.24999999999997,-9.069542358588501,-16.493844984010604,105.4_10.2
105.44999999999996,10.34999999999997,-7.475361892950721,-15.186318138010487,105.4_10.3
105.44999999999996,10.449999999999969,-8.378054903671648,-15.97963663980561,105.4_10.4
105.44999999999996,10.549999999999969,-8.589812842230012,-16.066580463293775,105.4_10.5
105.44999999999996,10.649999999999968,-10.046405320544926,-18.378361149655515,105.4_10.6
105.44999999999996,10.749999999999968,-11.590871998186003,-19.768517407284207,105.4_10.7
105.44999999999996,10.849999999999968,-10.077103267971397,-17.76557856706244,105.4_10.8
105.44999999999996,10.949999999999967,-9.010586800379862,-16.440386379565545,105.4_10.9
105.44999999999996,11.049999999999967,-9.423790258239125,-16.520794756364527,105.4_11.0
105.54999999999995,8.549999999999976,-17.84251000334711,-33.039213255057135,105.5_8.5
105.54999999999995,8.649999999999975,-17.648327360265526,-33.119813728211646,105.5_8.6
105.54999999999995,8.749999999999975,-17.52526200164276,-33.157784111297126,105.5_8.7
105.54999999999995,8.849999999999975,-17.236162795571623,-33.10472217691909,105.5_8.8
105.54999999999995,8.949999999999974,-17.23238621655907,-33.09240656291521,105.5_8.9
105.54999999999995,9.049999999999974,-18.267468985755848,-32.95384982278227,105.5_9.0
105.54999999999995,9.149999999999974,-12.655545719625897,-20.95849265832246,105.5_9.1
105.54999999999995,9.249999999999973,-10.092202967193538,-17.16872293698381,105.5_9.2
105.54999999999995,9.349999999999973,-8.600906216221151,-15.252385945957553,105.5_9.3
105.54999999999995,9.449999999999973,-8.216010049874297,-15.79824896421205,105.5_9.4
105.54999999999995,9.549999999999972,-9.139284427918778,-18.11136738345991,105.5_9.5
105.54999999999995,9.649999999999972,-9.890173071575592,-18.18051434087962,105.5_9.6
105.54999999999995,9.749999999999972,-9.012944608973394,-18.11071169165093,105.5_9.7
105.54999999999995,9.849999999999971,-8.026337020452225,-15.928842338058178,105.5_9.8
105.54999999999995,9.94999999999997,-8.955523444758477,-15.422288767310475,105.5_9.9
105.54999999999995,10.04999999999997,-8.429193390544153,-15.051105909485086,105.5_10.0
105.54999999999995,10.14999999999997,-8.67662296570242,-15.132554086081626,105.5_10.1
105.54999999999995,10.24999999999997,-8.588963164620436,-15.245364983269289,105.5_10.2
105.54999999999995,10.34999999999997,-8.392688715529998,-15.314321476283897,105.5_10.3
105.54999999999995,10.449999999999969,-7.861621083199633,-14.967054409060191,105.5_10.4
105.54999999999995,10.549999999999969,-9.308779492443286,-17.06730965830679,105.5_10.5
